MTL_NO,CREATED_OBJECT_TYPE,CREATED_OBJECT_ID,CREATED_PROGRAM_ID,CREATION_TIMESTAMP,LAST_UPDATED_OBJECT_TYPE,LAST_UPDATED_OBJECT_ID,LAST_UPDATE_PROGRAM_ID,LAST_UPDATE_TIMESTAMP,DATA_END_STATUS,DATA_END_OBJECT_TYPE,DATA_END_OBJECT_ID,DATA_END_PROGRAM_ID,DATA_END_TIMESTAMP,ARCHIVE_COMPLETED_FLAG,ARCHIVED_EMPLOYEE_NUM,ARCHIVED_TIMESTAMP,ARCHIVE_PROGRAM_ID,MTRL_STATUS_FLAG,MAT_STAT_CNG_DT,MTRL_COMPLETE_FLAG,MTRL_COMPLETE_DATE,MAT_SHP_TP,OPER_FLAG,FAC_OP_CD_N,CUR_FAC_OP_CD_N,BE_FAC_OP_CD_N,MAT_PRG_TP,MTRL_PROGRESS_UPDATE_DATE,GCS_COMP_CODE,WORKS_CODE,ORD_SUR_PRD_FLAG,BEF_ORD_SUR_PRD_FLAG,ORDER_TYPE,SPECIFICATION_CD_N,MUL_ORD_CNT,PART_SUR_PRD_COUNT,PART_SUR_PRD_DIR_CD,SPREAD_RSV_QT,PLAN_SLAB_NO,CHARGE_NO,SM_STEEL_GRD_N,MFG_STD_NO_N,URGENCY_MATERIAL_FLAG,PRODUCT_CD,PO_NUMBER,SALES_ACTUAL_ITEM_CD,MC_NO,CFIRM_PASS_OP_CD,STS_ANN_CFM_PASS_FAC_OP_CD_N,STS_CR_CFIRM_PASS_FAC_OP_CD_N,CC_UNCOND_SF_MTH,ANG_MAT_TP,PARENT_MTL_NO,SLAB_SPT_TP,UNCOND_NO,DIR_SERIAL_DIR_CD,SLAB_BE_DEST_TP,SLAB_DEST_CNG_DT,SPECIFIC_GRAVITY,SLAB_DIR_THK,SLAB_DIR_WTH,SLAB_DIR_LTH,SLAB_DIR_WGT,CASTP_DW_INDI_LEN,MTRL_PLAN_WGT,SD_LTH_MAX,SD_LTH_MIN,PLAN_PL_CUT_METH,YD_SML_TP,CC_MAT_PRD_LOC_TP,CUR_CC_MAT_LOC_TP,SLAB_STCK_DATE,STRE_LOC_CD,BEF_STRE_LOC_CD,HR_CL_LTH,NALPAN_DIR_LTH,CL_PLT_INDI_THK,CL_PLT_INDI_WTH,DISOP_DT,DISOP_CAU_CD1,DISOP_CAU_CD2,DISOP_CAU_CD3,DISOP_CAU_CD4,RSV_DT,RSV_METHOD_TP,CONST_MA_FLAG,RSV_PROHIBI_BED_STRE_DT,RSV_PROHIBI_BED_SET_TP,CASTP_SH_SUMUP_DT,SLAB_ORI_FN_DT,SLAB_CORR_DATE,SLAB_FN_SUMUP_DATE,SLAB_FN_OP_SFT,SL_FN_INSPOR_EMP_NO,SLAB_THK,SLAB_WTH,SLAB_LTH,SLAB_WGT,TAPERED_WIDE_WTH,TAPERED_NARROW_WTH,TAPPERED_FLAG,CASTP_SHP_TP,CUR_HCR_TP,UNCOND_SLAB_ASS_FLAG,SM_RESTRICT_RST_TP1,SM_RESTRICT_RST_TP2,SM_RESTRICT_RST_TP3,SM_RESTRICT_RST_TP4,SM_RESTRICT_RST_TP5,SM_RESTRICT_RST_TP6,CASTP_HD_AC_CD,CASTP_C_AC_TP,SRF_METHOD,SRF_PLACE,SRF_OP_DT,AV_SRF_AREA_PNT,GRINDING_RST_FLAG,GRD_PAINTING_AC_TP,SL_CUR_FN_DN_TP,SLAB_REFIN_CNT,SLAB_TRS_TEMP,SLAB_EQUIAXED_ZONE_RATIO,CASTP_SCUM_OCR_CNT,SPRD_CAU_CD1,SPRD_CAU_CD2,SPRD_CAU_CD3,SPRD_CAU_CD4,SPRD_CAU_CD5,SPRD_CAU_CD6,SPRD_CAU_CD7,SPRD_CAU_CD8,SPRD_CAU_CD9,SPRD_CAU_CD10,SPRD_CAU_CD,SPRD_OCR_DT,C_ST_CONST_ANALYSIS_DATE,CONST_JUD_DATE,STE_CONS_JDG_TP,C_ST_CONST_C_RST,C_ST_CONST_SI_RST,C_ST_CONST_MN_RST,C_ST_CONST_P_RST,C_ST_CONST_S_RST,C_ST_CONST_CU_RST,C_ST_CONST_TOT_AL_RST,C_ST_CONST_SOL_AL_RST,C_ST_CONST_NB_RST,C_ST_CONST_NI_RST_N,C_ST_CONST_CR_RST_N,C_ST_CONST_MO_RST_N,C_ST_CONST_W_RST_N,C_ST_CONST_TI_RST_N,C_ST_CONST_V_RST,C_ST_CONST_ZR_RST,C_ST_CONST_PB_RST_N,C_ST_CONST_SN_RST,C_ST_CONST_AS_RST,C_ST_CONST_CO_RST,C_ST_CONST_MG_RST,C_ST_CONST_TE_RST_N,C_ST_CONST_BI_RST_N,C_ST_CONST_SB_RST_N,C_ST_CONST_ZN_RST,C_ST_CONST_H_RST_N,C_ST_CONST_N_RST,C_ST_CONST_O_RST_N,C_ST_CONST_B_RST,C_ST_CONST_CA_RST,C_ST_CONST_CEQ_RST,C_ST_CONST_PCM_RST,C_ST_CONST_DELTA_FE_RST,C_ST_CONST_MD30_RST_SIGN,C_ST_CONST_MD30_RST,C_ST_CONST_CREQ_RST,C_ST_CONST_NIEQ_RST,C_ST_CONST_PBEQ_RST_N,C_ST_CONST_ETI_RST_N,C_ST_CONST_ENB_RST,STE_CONS_C_JDG_TP,STE_CONS_SI_JDG_TP,STE_CONS_MN_JDG_TP,STE_CONS_P_JDG_TP,STE_CONS_S_JDG_TP,STE_CONS_CU_JDG_TP,STE_CONS_T_AL_AL_JDG_TP,STE_CONS_SOL_AL_JDG_TP,STE_CONS_NB_JDG_TP,STE_CONS_NI_JDG_TP,STE_CONS_CR_JDG_TP,STE_CONS_MO_JDG_TP,STE_CONS_W_JDG_TP,STE_CONS_TI_JDG_TP,STE_CONS_V_JDG_TP,STE_CONS_ZR_JDG_TP,STE_CONS_PB_JDG_TP,STE_CONS_SN_JDG_TP,STE_CONS_AS_JDG_TP,STE_CONS_CO_JDG_TP,STE_CONS_MG_JDG_TP,STE_CONS_TE_JDG_TP,STE_CONS_BI_JDG_TP,STE_CONS_SB_JDG_TP,STE_CONS_ZN_JDG_TP,STE_CONS_H_JDG_TP,STE_CONS_N_JDG_TP,STE_CONS_O_JDG_TP,STE_CONS_B_JDG_TP,STE_CONS_CA_JDG_TP,STE_CONS_CEQ_JDG_TP,STE_CONS_PCM_JDG_TP,STE_CONS_DELTA_FE_JDG_TP,STE_CONS_MD30_JDG_TP,STE_CONS_CREQ_JDG_TP,STE_CONS_NIEQ_JDG_TP,STE_CONS_PBEQ_JDG_TP,STE_CONS_ETI_JDG_TP,STE_CONS_ENB_JDG_TP,CCP1_NAME,STE_CPD_CONS_AC1,STE_CPD_CONS_JDG_TP1,CCP2_NAME,STE_CPD_CONS_AC2,STE_CPD_CONS_JDG_TP2,CCP3_NAME,STE_CPD_CONS_AC3,STE_CPD_CONS_JDG_TP3,CCP4_NAME,STE_CPD_CONS_AC4,STE_CPD_CONS_JDG_TP4,CCP5_NAME,STE_CPD_CONS_AC5,STE_CPD_CONS_JDG_TP5,CCP6_NAME,STE_CPD_CONS_AC6,STE_CPD_CONS_JDG_TP6,CCP7_NAME,STE_CPD_CONS_AC7,STE_CPD_CONS_JDG_TP7,CASTP_DIF_ST_TP_TP,DIF_ST_TP_CONS_USE_TP,STE_CONS_TAP_TARG_JDG_TP,STE_CONS_COM_BAS_JDG_TP,SECOND_REF_JDG_TP,SLAB_QA_GRD,QA_TRK_ESTIMATE_GRD,QA_TRK_ACTUAL_GRD,QA_TRK_MAIN_GRD,QA_TRK_ACT_CODE,SL_QTRACK_OCR_CD,SQT_SRF_INDI,SCARFING_OPER_CAU_TP,SCARFING_OPER_CONFER_TP,QA_TRK_HCR_TP,SL_TRS_RE_SRF_EXECU_F,SUBST_TAP_CHR_CD_N1,SUBST_TAP_CHR_CD_N2,SUBST_TAP_CHR_CD_N3,SUBST_TAP_CHR_CD_N4,SUBST_TAP_CHR_CD_N5,SUBST_TAP_CHR_CD_N6,SUBST_TAP_CHR_CD_N7,SUBST_TAP_CHR_CD_N8,SUBST_TAP_CHR_CD_N9,SUBST_TAP_CHR_CD_N10,SUBST_TAP_CHR_CD_N11,SUBST_TAP_CHR_CD_N12,SUBST_TAP_CHR_CD_N13,SUBST_TAP_CHR_CD_N14,SUBST_TAP_CHR_CD_N15,SUBST_TAP_CHR_CD_N16,SUBST_TAP_CHR_CD_N17,SUBST_TAP_CHR_CD_N18,SUBST_TAP_CHR_CD_N19,SUBST_TAP_CHR_CD_N20,CORR_SUBST_TAP_CHR_CD_N,SUBST_ITEM_ASS_FLAG,SUBST_ITEM_ASS_DATE,UNSOUND_SLAB_CHNG_FLAG,UNSOUND_SLAB_CHNG_REQ_EMP_NO,UNSOUND_SLAB_CHNG_DATE,SZ_DIR_FLAG,SZ_PARENT_SLAB_FLAG,SZ_MSLAB_RL_OP_SFT,SZ_MSLAB_RL_AC_THK,SZ_MSLAB_RL_AC_W,SZ_ROLL_DATE,SZ_MSLAB_TRS_RL_AC_LEN,SZ_ROLL_RST_FLAG,SZ_CHILD_SLAB_EA,SZ_CHILD_SL_KEY_DELER_EMP_NO,SL_SZ_UPD_REQUEST_DT,SIZE_UPD_REQUEST_THK,SIZE_UPD_REQUEST_HEAD_W,SIZE_UPD_REQUEST_TAIL_W,SIZE_UPD_REQUEST_LEN,SL_SIZE_UPD_DT,SL_SZ_UPD_F,SL_SZ_UPD_CAU_CD,SL_SZ_UPD_BY_EMP_NO,SL_SZ_UPD_BE_THK,SL_SZ_UPD_BE_W,SL_SZ_UPD_BE_LEN,SL_SZ_UPD_BE_WGT,SL_REN_CAU_CD,SL_REN_TP,SUR_MAT_F,SLAB_SCR_THK,SLAB_SCR_WTH,SLAB_SCR_LEN,SLAB_SCRAP_QTY,CASTP_2ND_MNL_LEN_SH_TIM,CASTP_2ND_MNL_W_SH_TIM,CASTP_2ND_CCM_W_SH_TIM,CC_SCR_INDI_TP,CC_SCR_INDI_RSIT_DT,CC_SCR_PRC_DT,SL_LINE_TRK_INDI_TP,SHT_CVR_OPN_DT,RL_INDI_KWRM_COVER_USE_F,SHT_CVR_CLOSE_DT,SLAB_HEAT_COV_USE_FLAG,PLT_KWRM_PIT_STKING_DT,STKING_LOT_CD,RL_INDI_F_CD,RL_INDI_DT,RF_CH_LOT_NUM,RL_ROLL_UT_NM,HR_CH_SCHE_NUM,EN_HEAP_BED_NM,SLAB_YARD_DLIVRY_DATE,RF_A1_TB_CASTP_PS_SFT,FN_A1_TABLE_CASTP_PS_DT,SLAB_CH_PRG_TP,HR_SL_RL_WGT,PUR_CREAT_DATE,PUR_SLAB_NO,PUR_COUNTRY_CD,PUR_VESSEL_NAME,PUR_STOCK_DATE,SL_TRS_DTM_DT,TRS_INDI_DT,DEPT_YD_PNT_CD,DEPT_LOC_SITE_CD,DEST_SITE_CD,CARRY_OUT_DATE,MATERIAL_TRANSF_DATE,MATERIAL_RCPT_DATE,SLAB_SUR_PRD_DIR_TRANF_FLAG,RTN_CAU_CD,SPCMN_NO,TE_PIC_SMP_LOC,TE_PIC_SMP_F,TE_PIC_SMP_INDI_SMP_CD,TE_PIC_SMP_INDI_TP,TE_PIC_LOT_COMP_ABNR_MAT_AC_TP,TE_PIC_LOT_COMP_ABNR_MAT_AC_DT,ROLLING_DATE,HR_RL_OP_AC_TP,HR_RHT_FLAG,RE_HT_MAT_OCR_FAC_OP_CD_N,REHEAT_FLAG,RE_HT_MAT_OCR_CAU_CD,RE_HT_MAT_OCR_TIM,CC_YIELD,EXT_TOT_JDG_GD,SLAB_DELIV_INDI_TP,TRS_SUMUP_DT,TRS_SFT_CD,SLAB_ISSUE_SERIAL_DIR_CD,SHIP_INDI_DT,SHIP_SHIP_DT,RET_CAU_CD,RET_DT,OP_PLN_PLT_MI_LEN,OP_PLN_PLT_MAX_LEN,AFTER_SF_THK,AFTER_SF_WGT,PLAN_ROLL_METH_CD,NALPAN_FORMATION_TP_CD,LENGTH_UNITPLATE_MAX,LENGTH_UNITPLATE_MIN,SPCMN_SPARE_LTH,MULTI_DESN_FLAG,MULTI_DESN_LTH_SPARE,MULTI_DESN_WTH_SPARE,PLT_TE_PIC_QT_REVISE_TP,PL_SPCMN_LOT_GROUP_NO,PL_UST_TYPE_CD,PL_CTRL_CONST_COER_PASS_FLAG,PLT_KWRM_PIT_WCR_POSB_LMT_TM,PLT_SLAB_YD_WCR_POSB_LMT_TM,PLATE_DIV_LOC1,PLATE_DIV_LOC2,NALPAN_TOT_PRD_LTH,TOP_ORDER_HEAD_LINE_NO,TOP_ORDER_HEAD_LINE_NO2,ORDER_HEAD_LINE_NO,ORDER_HEAD_LINE_NO2,ORDER_HEAD_LINE_NO3,ORDER_HEAD_LINE_NO4,ORDER_HEAD_LINE_NO5,ORDER_HEAD_LINE_NO6,ORDER_HEAD_LINE_NO7,ORDER_HEAD_LINE_NO8,ORDER_HEAD_LINE_NO9,ORDER_HEAD_LINE_NO10,ORDER_HEAD_LINE_NO11,ORDER_HEAD_LINE_NO12,BEF_ORDER_HEAD_LINE_NO,BEF_ORDER_HEAD_LINE_NO2,BEF_ORDER_HEAD_LINE_NO3,BEF_ORDER_HEAD_LINE_NO4,BEF_ORDER_HEAD_LINE_NO5,BEF_ORDER_HEAD_LINE_NO6,BEF_ORDER_HEAD_LINE_NO7,BEF_ORDER_HEAD_LINE_NO8,BEF_ORDER_HEAD_LINE_NO9,BEF_ORDER_HEAD_LINE_NO10,BEF_ORDER_HEAD_LINE_NO11,BEF_ORDER_HEAD_LINE_NO12,OVEROLL_CD1,OVEROLL_CD2,OVEROLL_CD3,OVEROLL_CD4,OVEROLL_CD5,OVEROLL_CD6,OVEROLL_CD7,OVEROLL_CD8,OVEROLL_CD9,OVEROLL_CD10,OVEROLL_CD11,OVEROLL_CD12,OVERROLL_RELEASE_DATE,OVERROLL_CHECK_DATE,OP_INDI_ERR_CAU_CD,OVROLL_PASS_YN_FLAG,PLATE_EA1,PLATE_EA2,PLATE_EA3,PLATE_EA4,PLATE_EA5,PLATE_EA6,PLATE_EA7,PLATE_EA8,PLATE_EA9,PLATE_EA10,PLATE_EA11,PLATE_EA12,CONST_TAP_CHR_CD1,CONST_TAP_CHR_CD2,CONST_TAP_CHR_CD3,CONST_TAP_CHR_CD4,CONST_TAP_CHR_CD5,CONST_TAP_CHR_CD6,CONST_TAP_CHR_CD7,CONST_TAP_CHR_CD8,CONST_TAP_CHR_CD9,CONST_TAP_CHR_CD10,CONST_TAP_CHR_CD11,CONST_TAP_CHR_CD12,UNCOND_SLAB_SAVE_FLAG,PLAN_EDGE_CODE,HR_PLAN_OP_CD,ORDER_USAGE_CD_N,PROD_CODE_SEQ,PRD_DIR_FLAG,ERP_ORI_SEND_MT,ERP_SEND_MT,TRS_F,SRF_AF_RWET_RQR_F,TRANSACTION_DATE,TRANS_TYPE,ORDER_ASSEMBLY,ASSEMBLY,COMPONENT,COMPONENT_SUBINVENTORY_N,COMPONENT_QTY,COMPONENT_LOT_NUMBER,ASSEMBLY_SUBINVENTORY_N,ACTUAL_PRODUCT_QTY,DEPARTMENT_CODE1,USAGE1,DEPARTMENT_CODE2,USAGE2,DEPARTMENT_CODE3,USAGE3,PRE_ASSEMBLY,PRE_ASSEMBLY_SUBINVENTORY_N,PRE_PRODUCT_QTY_N,PRE_DEPARTMENT_CODE_N1,PRE_USAGE1,PRE_DEPARTMENT_CODE_N2,PRE_USAGE2,PRE_DEPARTMENT_CODE_N3,PRE_USAGE3,CC_SRF_OCR_SUMUP_DT,CC_SRF_OCR_CD,SLAB_DIR_CH_F,SLAB_RWET_OCR_DT,SLAB_ORI_RCPT_BED_CD,SLAB_ORI_STRE_LOC_CD,CC_CCM_CUT_SLAB_LEN,CC_CCM_CUT_SLAB_WTH,CC_SLAB_TRANS_PN_TM,HOT_COIL_NO,AS_ROLLED_PLATE_NO,MAT_PROD_STK_TP,CC_SCARFING_OCR_DT,CC_SCRAP_PRC_SUMUP_DT,SLAB_CORR_DDLINE_DATE,SPRD_OCR_SFT_CD,DISOP_SUMUP_DAY,CC_SL_BD_TP,CC_SCARFING_OCR_SFT_CD,HR_CCRL_DESN_TP,HR_CCRL_INDI_TP,CC_HOT_SCARFING_PRC_CD,CC_SL_SLIP_DEST_TP,CC_MACHINE_SRF_DEST_TP,CC_SRF_PRC_DEST_TP,CC_ORI_SCARFING_OP_SUMUP_DT,CC_SRF_DUE_DT_TR_PRC_TP,ORDER_USAGE_CD_N2,ORDER_USAGE_CD_N3,RSV_METHOD_TP2,RSV_METHOD_TP3,RSV_DT2,RSV_DT3,CC_SLB_SCAF_CUM_WRT,CC_SAVE_SLB_HGST_TP,SM_CC_HOT_SCAF_IND_TP,SM_CC_HOT_SCAF_A_TP,SM_CC_HOT_SCAF_A_HPN_DT,CTL_WGPH_IND_F,HR_PF_MAT_CH_DT,HR_PF_MAT_CH_OP_SFT,HR_PF_MAT_DEV_DT,HR_PF_MAT_DEV_OP_SFT,HR_WGPH_CH_DN_F,SM_CC_CSTP_SCAF_A_TP,CTL_SCHE_SLB_RL_IND_F,CTL_SCHE_SLB_RL_IND_DT,SLB_CHYD_STK_B_RL_IND_F,SM_CC_SLB_HPAY_DECN_TP,SM_CC_SLB_SR_X,SM_CC_SLB_CS_FST_X,PUR_MTRL_FLAG,CTL_INDI_SPC_MGT_ID_TP,YD_SLB_STLO_MV_PROH_CAU,SM_CC_CAST_DBQ_LTI_F,SM_CC_CAST_CH_LTI_F,SM_CC_VEHC_DBQ_LTI_F,SM_CC_VEHC_CH_LTI_F,PL_HEAT_TTT_METH_CD,PLT_ROLL_MGT_STE_TP,RF_CH_DT,RF_CH_MAT_TM,HR_WGPH_CHID_CNCB_CAU_TP,HR_WGPH_SLB_CH_SUMD,HR_WGPH_CHID_CNCB_SUMD,HR_WGPH_CHID_CNCB_SFT_CD,HR_WGPH_CH_IND_CNCB_DT,SM_CC_SLB_NO_PMK_TP,SM_CC_EN_SLB_HEAP_DT,SM_CC_FN_AOT_CSTP_PS_SUMD,PUR_SLB_STK_USE_TP,SM_CC_GRD_ASN_TP,ORDER_HEAD_LINE_NO13,ORDER_HEAD_LINE_NO14,ORDER_HEAD_LINE_NO15,ORDER_HEAD_LINE_NO16,ORDER_HEAD_LINE_NO17,ORDER_HEAD_LINE_NO18,ORDER_HEAD_LINE_NO19,ORDER_HEAD_LINE_NO20,BEF_ORDER_HEAD_LINE_NO13,BEF_ORDER_HEAD_LINE_NO14,BEF_ORDER_HEAD_LINE_NO15,BEF_ORDER_HEAD_LINE_NO16,BEF_ORDER_HEAD_LINE_NO17,BEF_ORDER_HEAD_LINE_NO18,BEF_ORDER_HEAD_LINE_NO19,BEF_ORDER_HEAD_LINE_NO20,OVEROLL_CD13,OVEROLL_CD14,OVEROLL_CD15,OVEROLL_CD16,OVEROLL_CD17,OVEROLL_CD18,OVEROLL_CD19,OVEROLL_CD20,PLATE_EA13,PLATE_EA14,PLATE_EA15,PLATE_EA16,PLATE_EA17,PLATE_EA18,PLATE_EA19,PLATE_EA20,CONST_TAP_CHR_CD13,CONST_TAP_CHR_CD14,CONST_TAP_CHR_CD15,CONST_TAP_CHR_CD16,CONST_TAP_CHR_CD17,CONST_TAP_CHR_CD18,CONST_TAP_CHR_CD19,CONST_TAP_CHR_CD20,RTN_DT,SM_CC_ORI_SCAF_JOB_DT,SM_CC_FN_DSP_SBM_F,PRD_CTL_ORI_RL_IND_TM,CC_CSTP_COOL_TYPE,SM_CC_SLB_MAN_PIT_DEF_GRD,SM_CC_SLB_2SH_LEN,QA_TRK_ACT_CODE2,QA_TRK_ACT_CODE3,SPPC_CONS_SUC_F,SPPC_CTL_CONS_ACPT_JDG_DT,SPPC_CHG_DC_TG_TMP,SM_CC_CSTP_UP_COC_X,SM_CC_CSTP_UP_SLC_X,SM_CC_CSTP_LW_COC_X,SM_CC_CSTP_LW_SLC_X,SM_CC_IC_INT_QLY_BAD_FST_X,CR_SAVE_FLAG,OPP_ORD_OC_RSN_TP,OPP_AV_HPN_TP,OPP_APR_OC_BAD_HPN_ID,SM_CC_CCR_DEST_TP,SM_CC_CCR_DEF_HPN_F,SM_CC_CCR_RST_SGNO_DT,SM_CC_SLB_UP_BS_TP,SM_CC_MAN_CSTP_ISP_TP,SM_CC_L_CD_MAN_CSTP_FN_ACPT_F,BT_RF_TP,QLY_JDG_SLB_SHP_ISP_TP,SSM_CC_BHM_A_SGNO_F,C_ST_CONST_FE_RST,STE_CONS_FE_JDG_TP,DOP_TI_SLB_RL_WGT,PLT_SLTG_SH_POSB_F,SSM_VAR_START_WTH,SSM_VAR_END_WTH,SSM_VAR_START_CSTP_LEN,SSM_VAR_END_CSTP_LEN,SSM_VAR_START_MOD_TAPER_VAL1,SSM_VAR_START_MOD_TAPER_VAL2,SSM_VAR_END_MOLD_TAPER_VAL1,SSM_VAR_END_MOLD_TAPER_VAL2,ORD_PDT_ITDS_CD_N,ORD_PDT_ITP_CD_N,MSTD_ITP_CD,CC_SH_SLB_IND_DEST_TP,PLT_GS_SH_DOO_PRD_ORD_TP,CAI_MT_CLT_DEST_F,CAI_HPN_CAU_TP,STS_SM_SHOT_BST_JOB_F,STS_SM_CC_POSTAR_APP_F,ROUTING_NO,ERP_B_OPZM_CD,ERP_B_OPZM_CD1,ERP_B_OPZM_CD2,ERP_B_OPZM_CD3,OPERATION_CODE1,OPERATION_CODE2,OPERATION_CODE3,OPERATION_CODE4,OPERATION_CODE5,OPERATION_CODE6,OPERATION_CODE7,OPERATION_CODE8,OPERATION_CODE9,OPERATION_CODE,BTI_PPL_SLAB_ODRMATCH_POSB_F,RL_ROLL_UT_NM_N,SLB_FRG_CO_TP,PPL_SEUS_MIXD_RL_IND_TP,PPL_SLB_SH_ACPT_MAX_UWGT,PPL_SLB_SH_ACPT_MIN_UWGT,PPL_SLB_SH_ACPT_MAX_LEN,PPL_SLB_SH_ACPT_MIN_LEN,PPL_SLB_FN_ACPT_MAX_UWGT,PPL_SLB_FN_ACPT_MIN_UWGT,SM_CC_CR_SLIP_INDT_SLB_TP,PLT_DIF_THK_RL_IND_TP,CL_PLT_INDI_THK2,NALPAN_DIR_LTH1,NALPAN_DIR_LTH2,NALPAN_DIR_LTH3,CC_FAC_TP,SM_CC_SRF_SITA_TP,SM_CC_CASTP_IND_HD_MT_TP,SM_CC_CASTP_A_HD_MT_TP,MAT_TSP_SMP_IND_SPG_CD,SM_CC_SLB_UP_LW_TP,SM_CC_SLAB_LEN_DIR_TP,CRST_PRD_CNTR_TP,PUR_MAT_SPCD_N,MAT_VNDR_CD,PUR_MAT_CHAR_NO,PUR_MAT_SUBS_CHAR_NO,PUR_MAT_ORD_HD_LN_NO,PUR_MAT_BUYR_SHPT_DAY,PDT_DVR_B_APR_F,STS_PPL_TRM_TP
SB45266 511,B,PEEZZ613,AddSlabTable,2022/03/14 01:40:11.638000,B,PEHZH622,ModifySlabTAble,2022/03/14 12:40:03.781000,,,,,,,,,,2,2022/03/14 01:40:08,,,D,C,1A1,3X1,3W1,E,2022/03/14 03:43:39,01,P,1,1,S1,JS-MRT3,1,0,,,SBHA8520 511,SB45266,A030020FFXX001,FHAUA1RHX112,,C,,FFBD00000000REA,3,21 12,,,,,,,SB45266 51,H1,,,7.82,250,1010,8110,15940,00,0,8110,6490,,PHA1160,3,3,2022/03/14 12:09:53,,1W000101,1024,,2.5,795.5,,,,,,,,,2022/03/14 12:10:03,N,20220313,2022/03/14 01:40:14,2022/03/14 01:40:14,20220313,2C,,250,1005,8100,15910,1010,1000,V,01,H,K,,,,,,,,,,,,,,,J,0,,,,,,,,,,,,,,,,2022/03/14 01:08:28,2022/03/14 01:40:06,P,0.0238,0.006,0.19,0.0091,0.0058,0.023,0.044,0.042,0,0.016,0.029,0.003,,0.0005,0.001,,,0.001,0.002,,,,,0.001,,,32,,0,0,,,,,,,,,,,P,P,P,P,P,P,,P,P,P,P,P,,P,P,,,P,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,PP,P,P,P,33223,00220,,00220,,NT,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB45263 081,B,PEEZZ613,AddSlabTable,2022/03/14 01:33:49.529000,B,PEEZZ613,ModifySlabTAble,2022/03/14 01:40:50.465000,,,,,,,,,,1,2022/03/14 01:33:47,,,D,C,3X1,3W1,,F,2022/03/14 01:33:47,01,P,1,,S1,T57CA,1,0,,,SBHA8519 081,SB45263,A030020FFXX001,FHAUA1RHX112,,C,,FFBD00000000RDY,3,21 12,,,,,,,SB45263 08,H1,,2022/03/14 01:33:49,7.82,250,1010,8770,17330,00,0,8830,7510,,PEG2160,3,3,,A1010101,,1008,,2.8,784.5,2022/03/14 01:33:48,04,,,,,,,,,20220313,,,,,,250,1010,8770,17320,1010,1010,,00,C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/03/14 00:10:43,2022/03/14 01:40:42,P,0.0252,0.005,0.195,0.0109,0.004,0.017,0.038,0.033,0,0.016,0.027,0.002,,0.001,0,,,0.001,0.003,,,,,0,,,33,,0,0,,,,,,,,,,,P,P,P,P,P,P,,P,P,P,P,P,,P,P,,,P,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,P,P,P,33223,00110,,00110,SFK,NT,K,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
