ORDER_HEAD_LINE_NO,MTL_NO,CREATED_OBJECT_TYPE,CREATED_OBJECT_ID,CREATED_PROGRAM_ID,CREATION_TIMESTAMP,LAST_UPDATED_OBJECT_TYPE,LAST_UPDATED_OBJECT_ID,LAST_UPDATE_PROGRAM_ID,LAST_UPDATE_TIMESTAMP,DATA_END_STATUS,DATA_END_OBJECT_TYPE,DATA_END_OBJECT_ID,DATA_END_PROGRAM_ID,DATA_END_TIMESTAMP,ARCHIVE_COMPLETED_FLAG,ARCHIVED_EMPLOYEE_NUM,ARCHIVED_TIMESTAMP,ARCHIVE_PROGRAM_ID,OS_STATUS_CD,MTL_SECTION_CD,MTL_STATUS_CD,OPER_FLAG,FAC_OP_CD_N,MAT_PRG_TP,PRD_PRG_TP,ORDER_PRG_TP_CD,BEF_OS_STATUS_CD,MTL_BEF_PROCESS_CD_N,PLATE_EA,MTL_REAL_WEIGHT,MTL_BASE_WEIGHT,MTL_COMPLETE_FLAG,GCS_COMP_CODE,WORKS_CODE,MAT_SHP_TP,RSV_METHOD_TP,RSV_DT,ASSEMBLY,SZ_DIR_FLAG,SZ_PARENT_SLAB_FLAG,PL_PRD_MASTER_CLS,DEPT_LOC_SITE_CD,DEST_SITE_CD,PLT_TE_PIC_QT_REVISE_TP,OVERROLL_CHECK_DATE,OVERROLL_RELEASE_DATE,OVROLL_PASS_YN_FLAG,OP_INDI_ERR_CAU_CD,OVEROLL_CD,MTL_PREVIOUS_NO_SECTION1,MTL_PREVIOUS_NO11,MTL_PREVIOUS_NO12,MTL_PREVIOUS_NO13,MTL_PREVIOUS_NO14,MTL_PREVIOUS_NO15,MTL_PREVIOUS_NO_SECTION2,MTL_PREVIOUS_NO21,MTL_PREVIOUS_NO22,MTL_PREVIOUS_NO23,MTL_PREVIOUS_NO24,MTL_PREVIOUS_NO25,MTL_PREVIOUS_NO26,MTL_PREVIOUS_NO27,MTL_PREVIOUS_NO28,MTL_PREVIOUS_NO29,MTL_PREVIOUS_NO30,PARTITION_KEY,CUST_DELIV_DT,PLT_PDT_ONL_ISP_RSH_IND_TP
01S5472758010,SBPB7732 512,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,3715,3715,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495740020,SBPB7732 512,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,3638,3638,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495740030,SBPB7732 512,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,3041,3041,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495789090,SBPB7732 512,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,1490,1490,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495792220,SBPB7732 512,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2156,2156,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5467431260,SBPB7732 521,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,5825,5825,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5486871060,SBPB7732 521,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,6152,6152,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495686010,SBPB7732 521,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,5875,5875,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5474235050,SBPB7732 522,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,2,10962,10962,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495706140,SBPB7732 522,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,4532,4532,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
