MTL_NO,CREATED_OBJECT_TYPE,CREATED_OBJECT_ID,CREATED_PROGRAM_ID,CREATION_TIMESTAMP,LAST_UPDATED_OBJECT_TYPE,LAST_UPDATED_OBJECT_ID,LAST_UPDATE_PROGRAM_ID,LAST_UPDATE_TIMESTAMP,DATA_END_STATUS,DATA_END_OBJECT_TYPE,DATA_END_OBJECT_ID,DATA_END_PROGRAM_ID,DATA_END_TIMESTAMP,ARCHIVE_COMPLETED_FLAG,ARCHIVED_EMPLOYEE_NUM,ARCHIVED_TIMESTAMP,ARCHIVE_PROGRAM_ID,MTRL_STATUS_FLAG,MAT_STAT_CNG_DT,MTRL_COMPLETE_FLAG,MTRL_COMPLETE_DATE,MAT_SHP_TP,OPER_FLAG,FAC_OP_CD_N,PASS_FAC_OP_CD_N,HR_CL_RL_PRD_FAC_CD_N,HR_CL_FN_PRD_FAC_CD_N,TRACKING_CODE,MAT_PRG_TP,MTRL_PROGRESS_UPDATE_DATE,ORDER_ASSEMBLY,ASSEMBLY,ASSEMBLY_RIST_DT1,PRE_ASSEMBLY,ASSEMBLY_RIST_DT2,PRD_AC_REPRC_TIM,PRD_WH_CD,GCS_COMP_CODE,WORKS_CODE,ORD_SUR_PRD_FLAG,BEF_ORD_SUR_PRD_FLAG,PART_SUR_PRD_COUNT,PROD_CODE_SEQ,PART_SUR_PRD_DIR_CD,MULTI_ORDER_CUT_PROS_CD,MTRL_PLAN_WGT,SPREAD_RSV_QT,MTRL_PROGRESS_UPDATE_PGM_ID,CHARGE_NO,SLAB_NO,SLAB_WGT,MML_CAST_COIL_NO,CAST_COIL_WGT,PARENT_COIL_NO,HR_CL_THK,HR_WTH,HR_CL_LTH,WEIGHT_DECISION_CODE,HR_NET_ACTUAL_WGT,HR_NET_THEO_WGT,HR_GR_ACTUAL_WGT,HR_GR_THEO_WGT,HR_MAX_THK,HR_AVG_THK,HR_MIN_THK,HR_MAX_WTH,HR_AVG_WTH,HR_MIN_WTH,COIL_IN_DIA,COIL_OUT_DIA,HR_DEF_CD1,HR_DEF_AVP1,HR_DEF_OCR_FC_TP1,HR_DEF_OCR_LOC_TP1,HR_DEF_ROLL_MARK_OCR_TP1,HR_DEF_CD2,HR_DEF_AVP2,HR_DEF_OCR_FC_TP2,HR_DEF_OCR_LOC_TP2,HR_DEF_ROLL_MARK_OCR_TP2,HR_DEF_CD3,HR_DEF_AVP3,HR_DEF_OCR_FC_TP3,HR_DEF_OCR_LOC_TP3,HR_DEF_ROLL_MARK_OCR_TP3,YD_SML_TP,STRE_LOC_CD,CUR_STRE_LOC_OP_DT,YD_LOGISTICES_NO,BEF_STRE_LOC_CD1,BE_STRE_LOC_OP_DT1,YD_LOGISTICES_NO1,BEF_STRE_LOC_CD2,BE_STRE_LOC_OP_DT2,YD_LOGISTICES_NO2,PLURAL_CUSTOMER_CD,TOP_ORDER_HEAD_LINE_NO,MUL_ORD_CNT,ORDER_TYPE,SALES_ACTUAL_ITEM_CD,SUBST_ITEM_ASS_FLAG,SUBST_ITEM_ASS_DATE,SUBST_HR_MFG_STD_NO_N,SUBST_ACTUAL_ITEM_CD,SUBST_USAGE_CD_N,SPECIFICATION_CD_N,POSCO_PROD_GRD_N,HR_MFG_STD_NO_N,CR_MFG_STD_NO_N,SIS_MFG_STD_NO_N,STS_MFG_STD_NO_N,SM_STEEL_GRD_N,HOT_COIL_SAVE_TP,RSV_DT,RSV_METHOD_TP,SPRD_CAU_CD,BF_SPRD_CAU_CD,SPRD_OCR_DT,OVERROLL_CHECK_DATE,OVERROLL_RELEASE_DATE,OVROLL_PASS_YN_FLAG,ORDER_HEAD_LINE_NO,OVEROLL_CD,ORDER_HEAD_LINE_NO2,OVEROLL_CD2,ORDER_HEAD_LINE_NO3,OVEROLL_CD3,ORDER_HEAD_LINE_NO4,OVEROLL_CD4,ORDER_HEAD_LINE_NO5,OVEROLL_CD5,ORDER_HEAD_LINE_NO6,OVEROLL_CD6,BEF_ORDER_HEAD_LINE_NO,BEF_ORDER_HEAD_LINE_NO2,BEF_ORDER_HEAD_LINE_NO3,BEF_ORDER_HEAD_LINE_NO4,BEF_ORDER_HEAD_LINE_NO5,BEF_ORDER_HEAD_LINE_NO6,DUMMY_PROTECT_FLAG,PUR_COUNTRY_CD,HR_CL_PUR_DEST_RE_MAT_TP,PUR_COIL_NO,SPCMN_NO,TE_PIC_SMP_INDI_SMP_CD,RE_TE_EXECU_F,TE_PIC_SMP_INDI_TP,TE_PIC_SMP_F,MAT_CUR_OP_ITDS_CD_N,MAT_TRS_OP_ITDS_CD_N,CFIRM_PASS_OP_CD,STS_ANN_CFM_PASS_FAC_OP_CD_N,HR_PLAN_OP_CD,HR_FN_PASS_OP_CD,HR_REW_OP_CD,HR_FN_END_NEXT_OP_CD,HR_UPT_OP_CD,PRD_TOT_JUD_DT,PRD_GRD,PRD_CONS_TOT_JDG_RST_TP,PRD_MAT_TOT_JDG_RST_TP,EXT_TOT_JDG_DT,EXT_TOT_JDG_GD,EXT_UT_WGT_JDG_GD,EXT_SIZE_JDG_GD,EXT_SUR_JDG_GD,EXT_SHP_JDG_GD,EXT_USE_SUR_JDG_GD,EXT_TOT_GD_CAU_CD,LAST_ORD_OTHER_OCR_CAU_CD,TRS_INDI_DT,MATERIAL_RCPT_DATE,TRS_INDI_CAU_CD,MATERIAL_RCPT_SFT,TRS_FAC_OP_CD_N,OP_INDI_ERR_CAU_CD,PICKL_DIRCT_DATE,INDI_MTL_NO,PICK_DATE,HR_ROLL_DIR_DATE,RL_ROLL_UT_NM,RL_RL_UT_TR_SEQ,HR_SP_COMPOSITE,RF_CH_DT,RF_CH_OP_SFT,RF_IN_FCE_TIME,RF_DEV_MAT_TM,HR_RM_R1_PS_DESCAL_USE_F,HR_RM_R2_PS_DESCAL_USE_F,HR_RM_R3_PS_DESCAL_USE_F,HR_RM_R4_PS_DESCAL_USE_F,HR_FIN_RL_STN_SPY_AC_USE_F,EH_USAGE_VOLTAGE,HR_EHT_USE_F,HR_FM_MIN_THK,HR_FM_MIN_THK_LOC,HR_FM_MAX_THK,HR_FM_MAX_THK_LOC,HR_FM_TOP_THK,HR_FM_MID_THK,HR_FM_BOT_THK,HR_FM_AVG_THK,HR_FR_O_THK_TEC_TR_CLS_BAND1,HR_FR_O_THK_TEC_TR_CLS_BAND2,HR_FR_O_THK_TEC_TR_CLS_BAND3,HR_FR_O_THK_TEC_TR_CLS_BAND4,HR_FR_O_THK_TEC_TR_CLS_BAND5,HR_FR_O_THK_TEC_TR_CLS_BAND6,HR_FR_O_THK_TEC_TR_CLS_BAND7,HR_FR_O_THK_TEC_TR_CLS_BAND8,HR_FR_O_THK_TEC_TR_CLS_BAND9,HR_FR_O_THK_TEC_TR_CLS_BAND10,HR_FM_MIN_WTH,HR_FM_MIN_WTH_LOC,HR_FM_MAX_WTH,HR_FM_MAX_WTH_LOC,HR_FM_TOP_WTH,HR_FM_MID_WTH,HR_FM_BOT_WTH,HR_FM_AVG_WTH,HR_FR_OT_W_TECH_TR_CLS_BAND1,HR_FR_OT_W_TECH_TR_CLS_BAND2,HR_FR_OT_W_TECH_TR_CLS_BAND3,HR_FR_OT_W_TECH_TR_CLS_BAND4,HR_FR_OT_W_TECH_TR_CLS_BAND5,HR_FR_OT_W_TECH_TR_CLS_BAND6,HR_FR_OT_W_TECH_TR_CLS_BAND7,HR_FR_OT_W_TECH_TR_CLS_BAND8,HR_FR_OT_W_TECH_TR_CLS_BAND9,HR_FR_OT_W_TECH_TR_CLS_BAND10,HR_FS_AVG_TEMP,HR_FS_MIN_TEMP,HR_FS_MIN_TEMP_LOC,HR_FS_MAX_TEMP,HR_FS_MAX_TEMP_LOC,HR_FDT_TOP,HR_FDT_MID,HR_FDT_BOT,HR_FR_OT_TM_TECH_TR_CLS_BAND1,HR_FR_OT_TM_TECH_TR_CLS_BAND2,HR_FR_OT_TM_TECH_TR_CLS_BAND3,HR_FR_OT_TM_TECH_TR_CLS_BAND4,HR_FR_OT_TM_TECH_TR_CLS_BAND5,HR_FR_OT_TM_TECH_TR_CLS_BAND6,HR_FR_OT_TM_TECH_TR_CLS_BAND7,HR_FR_OT_TM_TECH_TR_CLS_BAND8,HR_FR_OT_TM_TECH_TR_CLS_BAND9,HR_FR_OT_TM_TECH_TR_CLS_BAND10,HR_CS_AVG_TEMP,HR_REE_TM_CTL_TARG_TM,HR_CS_MIN_TEMP,HR_CS_MIN_TEMP_LOC,HR_CS_MAX_TEMP,HR_CS_MAX_TEMP_LOC,HR_CT_TOP,HR_CT_MID,HR_CT_BOT,HR_DC_E_TM_TEC_TR_CLS_BAND1,HR_DC_E_TM_TEC_TR_CLS_BAND2,HR_DC_E_TM_TEC_TR_CLS_BAND3,HR_DC_E_TM_TEC_TR_CLS_BAND4,HR_DC_E_TM_TEC_TR_CLS_BAND5,HR_DC_E_TM_TEC_TR_CLS_BAND6,HR_DC_E_TM_TEC_TR_CLS_BAND7,HR_DC_E_TM_TEC_TR_CLS_BAND8,HR_DC_E_TM_TEC_TR_CLS_BAND9,HR_DC_E_TM_TEC_TR_CLS_BAND10,HR_FIN_RL_OT_CRW_TOP,HR_FIN_RL_OT_CRW_MID,HR_FIN_RL_OT_CRW_BTM,HR_FIN_RL_OT_CRW_MAX,HR_FIN_RL_OT_CRW_MAX_LOC,HR_FIN_RL_OT_CRW_MI,HR_FIN_RL_OT_CRW_MI_LOC,HR_FIN_RL_OT_CRW_AV,HR_FIN_RL_OT_WED_MAX,HR_FIN_RL_OT_WED_MAX_LOC,HR_FIN_RL_OT_WED_MI,HR_FIN_RL_OT_WED_MI_LOC,HR_FIN_RL_OT_WED_TOP,HR_FIN_RL_OT_WED_MID,HR_FIN_RL_OT_WED_BTM,HR_FIN_RL_OT_WED_AV,HR_ROLL_HIGH_SPOT_HEIGHT1,HR_ROLL_HIGH_SPOT_WTH1,HR_HI_SPOT_LEN_DIRT_LOC1,HR_ROLL_HIGH_SPOT_HEIGHT2,HR_ROLL_HIGH_SPOT_WTH2,HR_HI_SPOT_LEN_DIRT_LOC2,HR_CROWN_025,HR_CROWN_050,HR_CROWN_075,HR_CROWN_100,HR_MID_INSP_DATE,HR_MID_INSP_FLAG,HR_RL_DEF_CD1,HR_RL_DEF_AVP1,HR_RL_DEF_OCR_FC_TP1,HR_RL_DEF_OCR_LOC_TP1,HR_RL_DEF_ROLL_MARK_OCR_TP1,HR_RL_DEF_CD2,HR_RL_DEF_AVP2,HR_RL_DEF_OCR_FC_TP2,HR_RL_DEF_OCR_LOC_TP2,HR_RL_DEF_ROLL_MARK_OCR_TP2,HR_RL_DEF_CD3,HR_RL_DEF_AVP3,HR_RL_DEF_OCR_FC_TP3,HR_RL_DEF_OCR_LOC_TP3,HR_RL_DEF_ROLL_MARK_OCR_TP3,HR_RL_OP_AC_TP,RL_OP_ABNR_CAU_CD,HR_ROLL_DATE,HR_OP_SFT,HR_CL_WGT,HR_DIVERG_CAU_CD,HR_TELESC_CLS,HR_TELESC_FLAG,HR_AFTER_COILING_COOL_TYPE,HR_AFTER_COILING_COOL_RST_FLAG,HR_DRT_C_SAT_DT,HR_DRT_C_END_DT,C_DN_TP,HR_CORR_DIR_DATE,HR_FN_ROLL_UT_IN_NM,HR_FN_ROLL_UT_IN_SEQ,OSP_TYPE_COMPANY_FLAG_N,DISOP_DT,DISOP_SFT,DISOP_FLAG,DISOP_FAC_OP_CD_N,DISOP_CAU_CD,HR_FN_DISOP_REQ_OP_CD,HR_CORR_INSP_DATE,HR_FN_INSP_SFT,HR_FN_DEF_CD1,HR_FN_DEF_AVP1,HR_FN_DEF_OCR_FC_TP1,HR_FN_DEF_OCR_LOC_TP1,HR_FN_DEF_ROLL_MARK_OCR_TP1,HR_FN_DEF_CD2,HR_FN_DEF_AVP2,HR_FN_DEF_OCR_FC_TP2,HR_FN_DEF_OCR_LOC_TP2,HR_FN_DEF_ROLL_MARK_OCR_TP2,HR_FN_DEF_CD3,HR_FN_DEF_AVP3,HR_FN_DEF_OCR_FC_TP3,HR_FN_DEF_OCR_LOC_TP3,HR_FN_DEF_ROLL_MARK_OCR_TP3,HR_FN_INSP_TOP_THK,HR_FN_INSP_MID_THK,HR_FN_INSP_BTM_THK,HR_CORR_INSP_TOP_WTH,HR_CORR_INSP_MID_WTH,HR_CORR_INSP_BOT_WTH,HR_CORR_WK_DATE,HR_FN_OP_SFT,HR_FN_OP_AC_TP,HR_FN_DISOP_CAU_CD,HR_SCR_AC_TP,HR_FN_NET_RL_WGT,HR_CORR_SH_PACK_EA,SH_1_QTY_UN_WGT,SH_PACK_HGT,PAK_METHOD,HR_FN_OP_SPEC_DESC,HR_FN_OP_SPEC_RSIT_DT,HR_FN_OP_SPEC_REG_PERSON,EMERGENCY_WORK_F,HR_ABNR_AC_OP_DATE,HR_ABNR_OP_AC_TP,HR_FN_ABNR_REQ_OP_CD,HR_CORR_REWK_REQ_FLAG,HR_CORR_XR_MIN_THK,HR_CORR_XR_MAX_THK,HR_CORR_AVG_THK,HR_CORR_XR_TOP_THK,HR_CORR_XR_MID_THK,HR_CORR_XR_BOT_THK,HR_CORR_XR_MAX_WTH,HR_CORR_XR_MIN_WTH,HR_CORR_AVG_WTH,HR_CORR_XR_TOP_WTH,HR_CORR_XR_MID_WTH,HR_CORR_XR_BOT_WTH,HR_CORREC_SP_EXECU_F,ABNR_RSV_ID_TP,PRD_WH_ENT_DT,PROD_COMPLETE_DATE,RET_DT,RET_OP_SFT,RTN_DT,CR_QUARTER_DT,SIS_FST_PRD_THK,SIS_DVER_TP,TS_GRADE,QA_TRK_ACT_CODE1,QA_TRK_POSITION_START1,QA_TRK_POSITION_END1,QA_TRK_ACT_CODE2,QA_TRK_POSITION_START2,QA_TRK_POSITION_END2,QA_TRK_ACT_CODE3,QA_TRK_POSITION_START3,QA_TRK_POSITION_END3,QA_TRK_ESTIMATE_GRD,QA_TRK_CODE1,QA_TRK_GRADE1,QA_TRK_CODE2,QA_TRK_GRADE2,QA_TRK_CODE3,QA_TRK_GRADE3,QA_TRK_HCR_TP,MFST_EXECU_F,MFST_CHG_CT,MFST_EL_AVG,MFST_TS_AVG,MFST_YP_AVG,MFST_EL_MAX,MFST_EL_MIN,MFST_TS_MAX,MFST_TS_MIN,MFST_YP_MAX,SPPC_YP_CAL_MIN,TRANSACTION_DATE,DEPARTMENT_CODE,TRANS_TYPE,COMPONENT_LOT_NUMBER,COMPONENT,COMPONENT_DIVIDE,MAT_WH_CD,COMPONENT_QTY,ASSEMBLY_DIVIDE,PRODUCT_QTY,DEPARTMENT_CODE1,USAGE1,HR_RL_COIL_NO,DEPARTMENT_CODE2,USAGE2,HR_CORR_DDLINE_DATE,HR_DDLINE_DATE,DEPARTMENT_CODE3,USAGE3,HR_FN_INSPOR_EMP_NO2,DEPARTMENT_CODE4,PRODUCT_DUE_DATE,USAGE4,ERP_SEND_MT,CUST_DELIV_DT,RST_HCR_FLAG,YD_L_F,PO_NUMBER,YD_SPAN_NUM,RD_FLAG,YD_LNUM,TRS_F,PROD_WH_RCP_SFT_CD,HR_FN_ESD_MAT_TM,HR_RL_OP_SPEC_DIR_F,HR_FN_OP_SPEC_DIR_F,BE_FAC_OP_CD_N,SPECIAL_WORK_DIR_F,TE_PIC_LOT_COMP_ABNR_MAT_AC_TP,TE_PIC_LOT_COMP_ABNR_MAT_AC_DT,SUR_MAT_F,SPECIAL_WORK_DIR_DT,SPECIAL_WORK_DIR_CONTENT,SPECIAL_WORK_DIR_REGISTRANT,SPECIAL_WORK_DIR_CONTAC,SIS_TRAN_DEST_TP,HR_FIN_RL_CON_RL_SHT,HR_RM_CON_RL_SHT,FINAL_COMPLETION_FLAG,DEPT_YD_PNT_CD,HR_PROFILE_MAST_GD,HR_FN_OT_DIVIDE_AC_FLAG,UNCOND_SLAB_ASS_FLAG,HR_PROFILE_TOP_MAST_GD,HR_PROFILE_MID_MAST_GD,HR_PROFILE_TAIL_MAST_GD,HR_FN_LABEL_STK_TP,HR_FN_TOP_CROP_CUT_LEN,HR_FN_MID_CROP_CUT_LEN,HR_FN_BOT_CROP_CUT_LEN,HR_CCRL_INDI_TP,HR_RL_METHOD_TP,HR_CCRL_ILT_SEQ,HR_CCRL_LOT_MAT_CNT,STR_PRODUCT_CLS_CD,HR_RL_MAT_HD_PTS_IND_POS,HR_RL_MAT_HD_PTS_A_POS,HR_RL_MAT_TIL_PTS_IND_POS,HR_RL_MAT_TIL_PTS_A_POS,ORDER_HEAD_LINE_NO7,OVEROLL_CD7,ORDER_HEAD_LINE_NO8,OVEROLL_CD8,ORDER_HEAD_LINE_NO9,OVEROLL_CD9,ORDER_HEAD_LINE_NO10,OVEROLL_CD10,ORDER_HEAD_LINE_NO11,OVEROLL_CD11,ORDER_HEAD_LINE_NO12,OVEROLL_CD12,ORDER_HEAD_LINE_NO13,OVEROLL_CD13,ORDER_HEAD_LINE_NO14,OVEROLL_CD14,ORDER_HEAD_LINE_NO15,OVEROLL_CD15,ORDER_HEAD_LINE_NO16,OVEROLL_CD16,ORDER_HEAD_LINE_NO17,OVEROLL_CD17,ORDER_HEAD_LINE_NO18,OVEROLL_CD18,ORDER_HEAD_LINE_NO19,OVEROLL_CD19,ORDER_HEAD_LINE_NO20,OVEROLL_CD20,BEF_ORDER_HEAD_LINE_NO7,BEF_ORDER_HEAD_LINE_NO8,BEF_ORDER_HEAD_LINE_NO9,BEF_ORDER_HEAD_LINE_NO10,BEF_ORDER_HEAD_LINE_NO11,BEF_ORDER_HEAD_LINE_NO12,BEF_ORDER_HEAD_LINE_NO13,BEF_ORDER_HEAD_LINE_NO14,BEF_ORDER_HEAD_LINE_NO15,BEF_ORDER_HEAD_LINE_NO16,BEF_ORDER_HEAD_LINE_NO17,BEF_ORDER_HEAD_LINE_NO18,BEF_ORDER_HEAD_LINE_NO19,BEF_ORDER_HEAD_LINE_NO20,TE_PIC_SMP_FAC_OP_CD_N,TE_PIC_SMP_DT,TE_PIC_SMP_OP_SFT,TE_PIC_NOT_COLL_CAU_FLAG,HR_MAT_THK_PRFL_BAD_F,HR_MAT_THK_PRFL_BAD_RTN_F,HR_COIL_ID_PSM_SH_TP,HR_COIL_ID_SH_DT,HR_COIL_ID_SH_WGJ_CD,SML_QLY_AV_TP_TP,SML_QLY_PSM_WODR_POSB_F,SML_QLY_PSM_AC_F,SML_QLY_PSM_AC_RQR_CONT,SLAB_EQUIAXED_ZONE_RATIO,QA_TRK_ACT_CODE4,QA_TRK_POSITION_START4,QA_TRK_POSITION_END4,QA_TRK_CODE4,QA_TRK_GRADE4,YD_MAT_MV_POSB_F,HR_FN_SLY_RST_MAT_TP,SLY_RESTRICT_TP,CR_SAVE_FLAG,OPP_ORD_OC_RSN_TP,OPP_APR_OC_BAD_HPN_ID,TE_AC_RCP_DT,CHET_HR_COIL_SLAL_CONS_ASR,CHET_HR_COIL_T_O_CONS_ASR,CHET_HR_COIL_T_N_CONS_ASR,ES_CHET_FNL_LSI_TI_ASR,ES_STE_REM_AL_CONS_CON,ES_HR_COIL_REM_AL_CONS_CON,ORD_PDT_ITDS_CD_N,SUBS_HR_MSTD_ITP_CD,HR_MSTD_ITP_CD,CR_MSTD_ITP_CD,ES_MSTD_ITP_CD,SML_MSTD_ITP_CD,CAI_MT_CLT_DEST_F,CAI_HPN_CAU_TP,HR_DOO_TRM_EXCT_F,ROUTING_NO,OPERATION_CODE1,OPERATION_CODE2,OPERATION_CODE3,OPERATION_CODE4,OPERATION_CODE5,OPERATION_CODE6,OPERATION_CODE7,OPERATION_CODE8,OPERATION_CODE9,OPERATION_CODE,ERP_B_OPZM_CD,COMPONENT_SUBINVENTORY_N,ASSEMBLY_SUBINVENTORY_N,MAT_VNDR_CD,MAT_VNDR_NM,PUR_MAT_SPCD_N,PUR_MAT_CHAR_NO,PUR_MAT_SUBS_CHAR_NO,PUR_MAT_ORD_HD_LN_NO,PUR_MAT_BUYR_SHPT_DAY,PUR_MTRL_REG_STATUS_FLAG,PDT_DVR_B_APR_F,RL_ROLL_UT_NM_N,PUR_STOCK_DATE,HR_HT_JOB_SBM_TP,HR_HT_PRG_STAT_TP,HR_HT_FCE_NO_TP,HR_HT_MAT_SLY_GRP_TP,HR_HT_AST_TM,HR_HT_CRK_TM,HR_HT_C_TM,HR_HT_TG_TMP,HR_HT_ST_DT,HR_HT_EN_DT,HR_HT_RQR_TM,HR_HT_MAT_CH_LOC_TP,HR_HT_MAT_AIRC_TM,PPL_SEUS_MIXD_RL_IND_TP,PPL_SEUS_RL_COIL_TP,PPL_SEUS_MIXD_RL_CH_DW_I_LEN,PPL_SEUS_MIXD_RL_CT_DW_I_LEN,PPL_SEUS_MIXD_RL_CH_DW_A_LEN,PPL_SEUS_MIXD_RL_CT_DW_A_LEN,TUTA_MAT_PRC_TP,PDT_DEF_HPN_LOC_CUS_OFFE_F,CUS_UWGT_PSM_RCPT_F,MAT_TSP_SMP_IND_SPG_CD,CRST_PRD_CNTR_TP,STS_PPL_TRM_TP,INWK_TRS_COIL_LOT_MAN_F,INWK_TRS_COIL_LOT_JDG_RST_TP,INWK_TRS_COIL_JDG_LOT_NO,INWK_TRS_LOT_JDG_DT
HAC065680,B,PHZFCM25,AddHotCoilTable,2022/03/14 15:29:11.577000,B,PH1APM14,ModifyHotCoilTable,2022/03/14 15:29:12.518000,,,,,,,,,,2,2022/03/14 15:29:06,,,H,H,1L1,1A1,H1A1,,H1A1A30,H,2022/03/14 15:29:06,EFHA00000000495,EFHA00000000495,2022/03/14 15:29:07,,,0,,01,P,1,,0,0,,,0,0,PH1APM14,SB45220,SB45220 011,22640,,,HAC065680,2.6,1026.5,1039,NA,22330,22330,22340,22340,2.717,2.64,2.62,1037.9,1036.4,1025.7,30,2045,C1,1,,,,D1,2,,,,A3,4,,,,,,,,,,,,,,N,01S5498733010,1,S1,FFFB000000002JQ,,,,,,KS-SCP1-H,FFCDFCCSAA004,FHXL001HX711,FFCH1A107,,,A040020FFXX005,,,,,,,,,,01S5498733010,,,,,,,,,,,,,,,,,,,,,,,,,,,FFB,,21 1,,111,,111,,,,,,,,,,,,,,,,2022/03/14 15:29:09,,9,,H111L1L1,,,,,2022/03/14 15:29:06,HAC078C,,,2022/03/14 11:11:33,1B,228,1148,100110000000000000,100110011000000000,,,01000,1520,1,2.62,114,2.717,13,2.689,2.641,2.662,2.64,0,0,0,0,62.8,35.5,0.8,0.6,0,0,1025.7,1,1037.9,885,1027,1037.2,1036.8,1036.4,0,0,0,0.7,1.1,26.2,71.8,0,0,0,899,883,30,914,834,894,898,890,0,0,0,350,320.5,188,0,0,0,0,642,640,611,0,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAC062750,B,PHZFCM25,AddHotCoilTable,2022/03/14 00:27:30.701000,B,PHZZYM12,ModifyHotCoilTable,2022/03/14 00:53:29.846000,,,,,,,,,,2,2022/03/14 00:27:25,,,H,H,1S1,1A1,H1A1,,H1S1J10,D,2022/03/14 00:27:25,EFHA00000000TH9,EFHA00000000TH9,2022/03/14 00:27:26,,,0,,01,P,1,,0,0,,,0,0,,SB44756,SB44756 581,19680,,,HAC062750,2.5,931.9,1023,NA,19450,19450,19457,19457,2.624,2.545,2.527,953.7,951.2,940.6,30,2009,A1,1,J,L9,,,,,,,,,,,,PHA1470,22601103,2022/03/14 00:53:28,21121,,,,,,,N,01S5451615010,1,MZ,FFBD00000000RVJ,,,,,,A650-DR8CA,FBLDMD80AA00F,FHALA1YHX111,FBDD4A102,,,A050025FFXX001,,,,,,,,,,01S5451615010,,,,,,,,,,,,,,,,,,,,,,,,,,,FBD,,21 11,,111,,12K111,,,,,,,,,,,,,,,,2022/03/14 00:27:28,,9,,,,,,,2022/03/14 00:27:25,HAC074J,,,2022/03/13 20:57:59,2C,182,1257,100110000000000000,100110011000000000,,,01000,1506,1,2.527,706,2.624,25,2.604,2.533,2.561,2.545,0,0,0,0,64.1,29.9,1.7,3.6,0.4,0,940.6,4,953.7,519,943.9,953.1,950.8,951.2,0,0,0,0,0,0.5,1.2,60.6,37.5,0,906,879,189,932,5,923,910,924,0,0,50,500,169,158,880,835,150,0,680,680,666,907,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
