ORDER_HEAD_LINE_NO,OS_STATUS_CD,CREATED_OBJECT_TYPE,CREATED_OBJECT_ID,CREATED_PROGRAM_ID,CREATION_TIMESTAMP,LAST_UPDATED_OBJECT_TYPE,LAST_UPDATED_OBJECT_ID,LAST_UPDATE_PROGRAM_ID,LAST_UPDATE_TIMESTAMP,DATA_END_STATUS,DATA_END_OBJECT_TYPE,DATA_END_OBJECT_ID,DATA_END_PROGRAM_ID,DATA_END_TIMESTAMP,ARCHIVE_COMPLETED_FLAG,ARCHIVED_EMPLOYEE_NUM,ARCHIVED_TIMESTAMP,ARCHIVE_PROGRAM_ID,OS_PROCESS_STATUS,OS_PROCESS_WGT,GCS_COMP_CODE,PARTITION_KEY
01S5463825010,DAH,B,PEEZZ050,C400620527,2022/03/14 15:12:35.000000,B,PEEZZ050,C400620527,2022/03/14 15:12:35.000000,,,,,,,,,,2,12834,01,P
01S5382166010,PSE,B,PLB4012R,C400620527,2022/03/14 14:23:31.000000,B,PLB4012R,CallPlateOSProgram,2022/03/14 14:23:35.330000,,,,,,,,,,2,0,01,P
01S5481349020,FA1,B,PP104001,C400620527,2022/03/14 14:24:36.000000,B,PP145102,CallProductOSProgram,2022/03/14 14:24:38.499000,,,,,,,,,,2,0,01,N
01S5470644570,PHE,B,PLA14055,C400620527,2022/03/14 14:25:41.000000,B,PLA14005,CallPlateOSProgram,2022/03/14 14:28:48.089000,,,,,,,,,,2,0,01,P
01S5442127020,DAH,B,PEEZZ050,C400620527,2022/03/14 14:25:46.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 14:54:07.401000,,,,,,,,,,2,7357,01,P
01S5442127040,DAH,B,PEEZZ050,C400620527,2022/03/14 14:25:46.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 14:54:07.446000,,,,,,,,,,2,8751,01,P
01S5460014330,PYE,B,PLC14052,C400620527,2022/03/14 14:25:46.000000,B,PLC14052,C400620527,2022/03/14 14:25:46.000000,,,,,,,,,,2,1160,01,P
01S5442153060,FBM,B,PP101002,C400620527,2022/03/14 14:25:54.000000,B,PP140500,CallProductOSProgram,2022/03/14 14:28:43.985000,,,,,,,,,,2,2172,01,P
01S5399687010,PXE,B,PLB4012R,C400620527,2022/03/14 14:25:56.000000,B,PLC14052,CallPlateOSProgram,2022/03/14 14:35:30.695000,,,,,,,,,,2,0,01,P
01S5389104190,FBM,B,PP101002,C400620527,2022/03/14 14:27:44.000000,B,H6C40104_01,CallProductOSProgram,2022/03/14 14:33:47.384000,,,,,,,,,,2,0,01,P
